Município,Grau de Urbanização (%),Razão de Dependência (%),PCT,PCF,PCPR,PCPA,População,Areakm2,Densidade Demográfica (hab/km²),População feminina (%),População preta ou parda (%)
Abatiá,73.83,45.72,7764,3848,320,2032,7321,227.96,32,49.56,30.29
Adrianópolis,32.31,62.03,6376,3078,367,2976,8556,1342.46,6,48.27,52.43
Agudos do Sul,34.12,49.76,8270,3964,173,2020,10092,191.84,53,47.93,26.52
Almirante Tamandaré,95.82,47.08,103204,52068,3700,32004,122032,193.98,629,50.45,34.6
Altamira do Paraná,49.58,50.93,4306,2104,139,2033,3435,388.49,9,48.86,50.44
Alto Paraíso,55.27,48.98,3206,1587,199,1605,3059,1045.12,3,49.5,56.27
Alto Paraná,82.13,45.01,13663,6821,603,4778,13897,407.79,34,49.92,39.38
Alto Piquiri,82.29,47.67,10179,5050,347,5042,9646,448.46,22,49.61,52.94
Altônia,73.57,47.49,20516,10359,556,6545,18735,728.31,26,50.49,34.61
Alvorada do Sul,71.36,44.81,10283,5078,267,3823,11672,427.43,27,49.38,39.77
Amaporã,79.55,48.8,5443,2686,562,2750,4765,384.02,12,49.35,60.85
Ampére,76.59,46.95,17308,8722,314,3033,19506,298.15,65,50.39,19.34
Anahy,73.35,50.71,2874,1435,183,941,3107,105.13,30,49.93,39.11
Andirá,93.89,44.33,20610,10569,754,4870,20234,233.54,87,51.28,27.29
Ângulo,78.8,45.13,2859,1402,93,1053,3447,105.64,33,49.04,40.08
Antonina,85.03,55.32,18891,9542,595,5626,17261,887.77,19,50.51,32.93
Antônio Olinto,9.35,48.45,7351,3494,161,1723,6520,466.65,14,47.53,25.63
Apucarana,94.36,42.69,120919,62237,5171,33294,135969,557.04,244,51.47,31.81
Arapongas,97.79,41.22,104150,53111,3043,20826,118573,382.56,310,50.99,22.92
Arapoti,84.23,48.39,25855,12906,871,7475,25541,1364.52,19,49.92,32.28
Arapuã,37.46,51.73,3561,1797,83,1128,3537,217.69,16,50.46,34.01
Araruna,78.06,43.63,13419,6595,241,4263,14520,494.02,29,49.15,33.56
Araucária,92.51,42.54,119123,59517,4471,31614,166699,470.02,355,49.96,30.29
Ariranha do Ivaí,36.85,47.68,2453,1224,12,1008,2340,240.53,10,49.9,41.58
Assaí,83.08,47.91,16354,8342,584,5308,17628,441.79,40,51.01,36.03
Assis Chateaubriand,87.85,45.02,33025,16847,1016,9934,36400,978.06,37,51.01,33.16
Astorga,91.34,43.0,24698,12556,716,7192,25477,436.18,58,50.84,32.02
Atalaia,85.54,42.34,3913,1943,122,1153,3978,137.25,29,49.65,32.58
Balsa Nova,60.8,42.68,11300,5579,157,2231,14608,347.62,42,49.37,21.13
Bandeirantes,88.19,45.01,32184,16633,1821,9629,31309,446.07,70,51.68,35.58
Barbosa Ferraz,75.7,50.17,12656,6305,984,5294,10766,534.67,20,49.82,49.6
Barra do Jacaré,67.88,41.74,2727,1342,122,470,3022,115.62,26,49.21,21.71
Barracão,71.99,46.61,9735,4941,216,3360,9886,164.92,60,50.76,36.73
Bela Vista da Caroba,26.39,51.79,3945,1927,109,1340,3416,148.16,23,48.85,36.73
Bela Vista do Paraíso,94.14,46.71,15079,7762,539,5033,14789,245.49,60,51.48,36.95
Bituruna,62.34,53.76,15880,7730,134,5055,15443,1237.84,12,48.68,32.68
Boa Esperança,57.79,43.2,4568,2288,118,1629,4552,301.45,15,50.09,38.24
Boa Esperança do Iguaçu,34.48,47.73,2764,1362,105,527,2411,150.99,16,49.28,22.87
Boa Ventura de São Roque,23.56,50.15,6554,3208,238,1845,6347,621.43,10,48.95,31.78
Boa Vista da Aparecida,61.94,56.31,7911,3917,227,2161,7876,265.8,30,49.51,30.19
Bocaiúva do Sul,46.67,54.25,10987,5435,357,2953,16292,812.22,20,49.47,30.13
Bom Jesus do Sul,24.58,54.06,3796,1827,76,1062,3942,176.95,22,48.13,29.98
Bom Sucesso,81.22,48.07,6561,3334,334,2921,6583,321.5,20,50.82,49.61
Bom Sucesso do Sul,48.01,42.62,3293,1655,84,471,3540,196.97,18,50.26,16.85
Borrazópolis,73.74,45.24,7878,3945,188,2248,7706,338.51,23,50.08,30.92
Braganey,59.58,49.15,5735,2796,131,1580,5212,342.41,15,48.75,29.83
Brasilândia do Sul,67.93,46.86,3209,1606,195,1712,3703,291.44,13,50.05,59.43
Cafeara,81.45,44.58,2695,1319,133,788,2620,184.9,14,48.94,34.17
Cafelândia,84.22,40.95,14662,7317,404,4261,18262,275.03,66,49.9,31.82
Cafezal do Sul,77.51,46.52,4290,2120,200,1719,4474,331.45,13,49.42,44.73
Califórnia,74.71,46.66,8069,4018,270,2267,9438,141.59,67,49.8,31.44
Cambará,93.63,45.32,23886,12238,1339,4965,23956,371.48,64,51.24,26.39
Cambé,96.09,42.56,96733,49434,4081,27482,107220,497.75,215,51.1,32.63
Cambira,75.66,42.61,7236,3557,344,1674,10482,163.35,64,49.16,27.89
Campina da Lagoa,81.57,49.43,15394,7747,283,5356,15737,799.09,20,50.32,36.63
Campina do Simão,34.05,53.87,4076,1940,155,1331,3937,450.26,9,47.6,36.46
Campina Grande do Sul,82.44,46.16,38769,19540,1602,9776,52083,542.13,96,50.4,29.35
Campo Bonito,58.54,50.2,4407,2192,111,1519,4266,427.9,10,49.74,36.99
Campo do Tenente,58.86,52.8,7125,3449,118,2834,7583,304.64,25,48.41,41.43
Campo Largo,83.8,41.76,112377,56717,2961,20002,144165,1241.19,116,50.47,20.43
Campo Magro,78.68,45.37,24843,12336,824,7390,31678,274.58,115,49.66,33.06
Campo Mourão,94.82,41.94,87194,45181,3000,25317,99170,746.6,133,51.82,32.48
Cândido de Abreu,28.53,52.87,16655,8112,348,4095,16727,1508.19,11,48.71,26.68
Candói,46.89,51.11,14983,7432,659,6038,14922,1509.64,10,49.6,44.7
Cantagalo,65.7,54.37,12952,6390,411,5300,10589,583.14,18,49.34,44.09
Capanema,60.19,44.66,18526,9366,239,3149,19205,416.88,46,50.56,18.29
Capitão Leônidas Marques,76.75,47.74,14970,7496,666,3209,14644,277.98,53,50.07,25.89
Carambeí,72.63,49.17,19163,9461,491,4570,23386,648.75,36,49.37,26.41
Carlópolis,68.24,47.06,13706,6781,201,1126,16908,454.14,37,49.47,9.68
Cascavel,94.36,39.98,286205,146434,7250,74815,350644,2086.39,168,51.16,28.67
Castro,73.44,52.3,67084,33694,2417,19379,75956,2526.15,30,50.23,32.49
Catanduvas,52.36,50.41,10202,5010,369,3714,11246,587.26,19,49.11,40.02
Centenário do Sul,83.41,44.91,11190,5628,589,4546,10836,370.35,29,50.29,45.89
Cerro Azul,28.39,57.52,16938,8220,169,5953,16145,1350.33,12,48.53,36.14
Céu Azul,76.02,43.98,11032,5619,143,2900,11081,1176.6,9,50.93,27.58
Chopinzinho,63.56,46.39,19679,9904,455,5355,21646,958.65,23,50.33,29.52
Cianorte,89.03,40.16,69958,35917,1850,16268,82232,810.74,101,51.34,25.9
Cidade Gaúcha,82.95,46.46,11062,5531,464,4869,11467,403.26,28,50.0,48.21
Clevelândia,85.6,54.12,17240,8801,295,5925,17321,701.97,25,51.05,36.08
Colombo,95.42,44.49,212967,107957,8124,65651,238780,197.38,1210,50.69,34.64
Colorado,94.0,40.43,22345,11303,843,7863,22902,408.73,56,50.58,38.96
Congonhinhas,58.39,50.36,8279,4042,362,2402,8336,535.79,16,48.82,33.39
Conselheiro Mairinck,69.17,48.29,3636,1797,174,1073,4354,204.51,21,49.42,34.3
Contenda,58.09,47.36,15891,7796,557,3453,17435,295.81,59,49.06,25.23
Corbélia,85.68,44.74,16312,8339,422,3022,17466,528.35,33,51.12,21.11
Cornélio Procópio,94.42,41.59,46928,24231,2750,11354,44599,635.7,70,51.63,30.05
Coronel Domingos Soares,24.22,54.07,7238,3447,151,2722,7007,1553.69,5,47.62,39.69
Coronel Vivida,71.01,47.03,21749,11128,545,5073,26413,682.04,39,51.17,25.83
Corumbataí do Sul,53.15,48.83,4002,1972,148,2073,3752,167.9,22,49.28,55.5
Cruz Machado,33.58,52.95,18040,8718,494,1652,15993,1477.01,11,48.33,11.9
Cruzeiro do Iguaçu,61.31,50.11,4278,2145,45,1078,4137,160.13,26,50.14,26.25
Cruzeiro do Oeste,86.54,45.66,20416,10428,941,8166,23852,775.43,31,51.08,44.61
Cruzeiro do Sul,74.6,43.22,4563,2253,178,2010,4495,258.97,17,49.38,47.95
Cruzmaltina,47.53,44.32,3162,1527,98,996,3150,306.19,10,48.29,34.6
Curitiba,100.0,37.98,1751907,916792,49320,296140,1871789,434.87,4304,52.33,19.72
Curiúva,68.76,50.73,13923,6816,545,4095,13272,574.96,23,48.95,33.33
Diamante do Norte,82.51,47.29,5516,2786,511,2463,5151,242.28,21,50.51,53.92
Diamante do Sul,40.03,57.61,3510,1714,51,1143,3173,347.17,9,48.83,34.02
Diamante D'Oeste,50.94,53.54,5027,2457,143,1780,5106,308.04,17,48.88,38.25
Dois Vizinhos,77.66,42.01,36179,18193,633,8114,44828,419.44,107,50.29,24.18
Douradina,70.33,44.28,7445,3675,314,2563,9168,421.15,22,49.36,38.64
Doutor Camargo,87.66,44.19,5828,2960,177,1324,6290,117.96,53,50.79,25.75
Doutor Ulysses,16.22,58.6,5727,2747,164,1859,6216,780.79,8,47.97,35.32
Enéas Marques,34.84,46.04,6103,2969,41,992,5995,194.33,31,48.65,16.93
Engenheiro Beltrão,88.29,43.91,13906,6980,508,5122,12444,470.21,26,50.19,40.49
Entre Rios do Oeste,67.29,41.53,3926,1967,63,442,4511,120.13,38,50.1,12.86
Esperança Nova,38.17,49.24,1970,989,64,733,1845,143.14,13,50.2,40.46
Espigão Alto do Iguaçu,35.19,59.08,4677,2291,146,1330,5915,326.08,18,48.98,31.56
Farol,58.12,49.01,3472,1749,126,1373,3052,289.44,11,50.37,43.17
Faxinal,78.09,49.64,16314,8289,532,4213,16338,715.57,23,50.81,29.09
Fazenda Rio Grande,92.96,47.49,81675,41101,2913,23875,167315,116.78,1433,50.32,32.8
Fênix,83.19,46.09,4802,2404,171,2145,4492,233.84,19,50.06,48.23
Fernandes Pinheiro,35.3,49.84,5932,2893,84,1952,6288,404.5,16,48.77,34.32
Figueira,85.51,50.15,8293,4190,227,2582,8064,129.69,62,50.52,33.87
Flor da Serra do Sul,34.79,48.99,4726,2328,88,1224,4230,249.4,17,49.26,27.76
Floraí,88.55,41.42,5050,2548,139,1096,6569,189.8,35,50.46,24.46
Floresta,92.23,41.15,5931,2978,236,1758,11559,161.65,72,50.21,33.62
Florestópolis,93.96,44.41,11222,5535,597,5029,11475,246.83,46,49.32,50.13
Flórida,91.31,46.15,2543,1254,25,1018,2651,83.82,32,49.31,41.01
Formosa do Oeste,65.91,43.26,7541,3757,284,1630,7641,275.52,28,49.82,25.38
Foz do Iguaçu,99.17,43.88,256088,131870,8595,82298,286323,608.36,471,51.49,35.49
Foz do Jordão,72.45,56.87,5420,2735,204,2175,4845,230.76,21,50.46,43.89
Francisco Alves,65.97,51.8,6418,3194,212,2818,8141,319.91,25,49.77,47.21
Francisco Beltrão,85.44,40.99,78943,39985,1264,16863,96622,732.94,132,50.65,22.96
General Carneiro,70.01,57.24,13669,6771,316,5007,11053,1072.21,10,49.54,38.94
Godoy Moreira,46.36,48.44,3337,1636,138,1460,2977,130.32,23,49.03,47.89
Goioerê,86.99,45.53,29018,15012,944,12383,28470,564.61,50,51.73,45.93
Goioxim,23.4,57.23,7503,3579,207,3455,6570,702.81,9,47.7,48.81
Grandes Rios,53.74,48.11,6625,3240,213,2497,5625,308.59,18,48.91,40.91
Guaíra,91.86,48.09,30704,15772,828,11233,31971,568.71,56,51.37,39.28
Guairaçá,80.02,46.92,6197,3091,209,2754,6582,495.77,13,49.88,47.81
Guamiranga,28.3,46.84,7900,3892,122,2636,7856,243.55,32,49.27,34.91
Guapirama,74.53,45.51,3891,1957,242,759,4627,188.4,25,50.3,25.73
Guaporema,57.73,45.89,2219,1084,165,907,2186,200.6,11,48.85,48.31
Guaraci,80.35,47.41,5227,2653,162,2138,4751,212.08,22,50.76,44.0
Guaraniaçu,53.52,49.34,14582,7319,1115,3280,14398,1237.13,12,50.19,30.14
Guarapuava,91.43,46.32,167328,85531,5039,43671,190342,3163.44,60,51.12,29.11
Guaraqueçaba,34.09,56.57,7871,3695,103,3375,7446,2307.14,3,46.94,44.19
Guaratuba,89.75,49.43,32095,16120,576,7740,42801,1327.0,32,50.23,25.91
Honório Serpa,33.38,51.41,5955,2863,105,2397,5471,503.02,11,48.08,42.02
Ibaiti,80.4,48.5,28751,14278,859,7686,30943,898.93,34,49.66,29.72
Ibema,81.45,50.11,6066,3030,147,1978,6218,150.26,41,49.95,35.03
Ibiporã,95.22,43.59,48198,24761,1314,11230,54917,298.49,184,51.37,26.03
Icaraíma,70.6,49.86,8839,4381,288,3776,8992,694.5,13,49.56,45.98
Iguaraçu,89.38,41.16,3982,1978,160,1466,5478,163.78,33,49.67,40.83
Iguatu,64.37,49.63,2234,1098,46,985,2142,107.29,20,49.15,46.15
Imbaú,62.62,55.85,11274,5526,455,2888,11619,331.66,35,49.02,29.65
Imbituva,62.86,48.77,28455,14065,494,5015,29893,760.55,39,49.43,19.36
Inácio Martins,57.46,58.04,10943,5339,319,2461,10776,938.63,11,48.79,25.4
Inajá,92.4,48.58,2988,1460,108,1617,2529,193.85,13,48.86,57.73
Indianópolis,73.2,46.57,4299,2112,151,1298,4223,123.87,34,49.13,33.71
Ipiranga,34.55,50.2,14150,6822,165,3252,14230,926.14,15,48.21,24.15
Iporã,78.61,48.96,14981,7588,330,5938,15730,654.52,24,50.65,41.84
Iracema do Oeste,77.66,47.82,2578,1258,117,931,2347,81.9,29,48.8,40.65
Irati,79.94,44.0,56207,28499,634,9501,59253,1000.0,59,50.7,18.03
Iretama,58.25,52.64,10622,5189,305,4931,10681,571.0,19,48.85,49.29
Itaguajé,79.6,49.53,4568,2272,172,2297,4489,194.31,23,49.74,54.05
Itaipulândia,52.53,44.28,9026,4477,153,1722,10909,328.82,33,49.6,20.77
Itambaracá,75.16,48.91,6759,3369,203,1972,5920,207.41,29,49.84,32.18
Itambé,94.9,42.36,5979,3033,236,2039,6734,244.13,28,50.73,38.05
Itapejara d'Oeste,66.35,45.68,10531,5269,303,1731,13177,253.85,52,50.03,19.31
Itaperuçu,83.54,51.34,23887,11903,288,8302,31843,322.85,99,49.83,35.96
Itaúna do Sul,71.14,55.44,3583,1761,344,1774,3566,127.18,28,49.15,59.11
Ivaí,36.12,52.52,12815,6131,573,2027,13142,601.65,22,47.84,20.29
Ivaiporã,86.24,45.68,31816,16396,794,10573,32604,430.92,76,51.53,35.73
Ivaté,69.64,45.28,7514,3706,183,3529,6771,411.49,16,49.32,49.4
Ivatuba,76.21,38.2,3010,1574,163,957,2786,94.93,29,52.29,37.21
Jaboti,61.75,47.12,4902,2414,96,691,5425,138.96,39,49.25,16.05
Jacarezinho,88.89,45.05,39121,19985,3278,10576,40356,602.25,67,51.09,35.41
Jaguapitã,84.91,44.28,12225,6116,542,4412,15193,477.54,32,50.03,40.52
Jaguariaíva,86.0,47.53,32606,16514,1000,8682,35527,1447.31,25,50.65,29.69
Jandaia do Sul,90.44,44.19,20269,10389,380,5157,23006,189.02,122,51.26,27.32
Janiópolis,61.82,47.35,6532,3259,240,2787,5862,338.86,17,49.89,46.34
Japira,55.74,51.0,4903,2364,274,1216,4971,187.48,27,48.22,30.39
Japurá,89.12,42.67,8549,4225,182,1774,9127,165.4,55,49.42,22.88
Jardim Alegre,58.19,48.68,12324,6055,602,4143,12070,415.59,29,49.13,38.5
Jardim Olinda,71.04,47.08,1409,710,58,750,1280,128.98,10,50.39,57.35
Jataizinho,93.08,49.39,11875,6002,464,3823,11857,159.46,74,50.54,36.1
Jesuítas,67.44,47.58,9001,4532,239,2904,10508,249.42,42,50.35,34.92
Joaquim Távora,76.56,45.2,10736,5415,189,1951,11870,289.12,41,50.44,19.93
Jundiaí do Sul,57.56,51.37,3433,1695,31,1123,3446,320.28,11,49.37,33.61
Juranda,76.42,43.74,7641,3826,196,3005,7773,354.27,22,50.07,41.89
Jussara,89.62,45.34,6610,3350,161,2168,7477,207.8,36,50.68,35.23
Kaloré,71.42,46.78,4506,2218,182,860,4579,193.09,24,49.22,23.12
Lapa,60.58,46.05,44932,22286,1373,11228,45620,2098.44,22,49.6,28.04
Laranjal,31.93,60.16,6360,3124,122,2519,5628,558.63,10,49.12,41.53
