Número,Município,Mesorregiões
1,Altamira do Paraná,Centro Ocidental Paranaense
2,Araruna,Centro Ocidental Paranaense
3,Barbosa Ferraz,Centro Ocidental Paranaense
4,Boa Esperança,Centro Ocidental Paranaense
5,Campina da Lagoa,Centro Ocidental Paranaense
6,Campo Mourão,Centro Ocidental Paranaense
7,Corumbataí do Sul,Centro Ocidental Paranaense
8,Engenheiro Beltrão,Centro Ocidental Paranaense
9,Farol,Centro Ocidental Paranaense
10,Fênix,Centro Ocidental Paranaense
11,Goioerê,Centro Ocidental Paranaense
12,Iretama,Centro Ocidental Paranaense
13,Janiópolis,Centro Ocidental Paranaense
14,Juranda,Centro Ocidental Paranaense
15,Luiziana,Centro Ocidental Paranaense
16,Mamborê,Centro Ocidental Paranaense
17,Moreira Sales,Centro Ocidental Paranaense
18,Nova Cantu,Centro Ocidental Paranaense
19,Peabiru,Centro Ocidental Paranaense
20,Quarto Centenário,Centro Ocidental Paranaense
21,Quinta do Sol,Centro Ocidental Paranaense
22,Rancho Alegre D'Oeste,Centro Ocidental Paranaense
23,Roncador,Centro Ocidental Paranaense
24,Terra Boa,Centro Ocidental Paranaense
25,Ubiratã,Centro Ocidental Paranaense
26,Arapoti,Centro Oriental Paranaense
27,Carambeí,Centro Oriental Paranaense
28,Castro,Centro Oriental Paranaense
29,Imbaú,Centro Oriental Paranaense
30,Jaguariaíva,Centro Oriental Paranaense
31,Ortigueira,Centro Oriental Paranaense
32,Palmeira,Centro Oriental Paranaense
33,Piraí do Sul,Centro Oriental Paranaense
34,Ponta Grossa,Centro Oriental Paranaense
35,Reserva,Centro Oriental Paranaense
36,Sengés,Centro Oriental Paranaense
37,Telêmaco Borba,Centro Oriental Paranaense
38,Tibagi,Centro Oriental Paranaense
39,Ventania,Centro Oriental Paranaense
40,Boa Ventura de São Roque,Centro-Sul Paranaense
41,Campina do Simão,Centro-Sul Paranaense
42,Candói,Centro-Sul Paranaense
43,Cantagalo,Centro-Sul Paranaense
44,Clevelândia,Centro-Sul Paranaense
45,Coronel Domingos Soares,Centro-Sul Paranaense
46,Espigão Alto do Iguaçu,Centro-Sul Paranaense
47,Foz do Jordão,Centro-Sul Paranaense
48,Goioxim,Centro-Sul Paranaense
49,Guarapuava,Centro-Sul Paranaense
50,Honório Serpa,Centro-Sul Paranaense
51,Inácio Martins,Centro-Sul Paranaense
52,Laranjal,Centro-Sul Paranaense
53,Laranjeiras do Sul,Centro-Sul Paranaense
54,Mangueirinha,Centro-Sul Paranaense
55,Marquinho,Centro-Sul Paranaense
56,Mato Rico,Centro-Sul Paranaense
57,Nova Laranjeiras,Centro-Sul Paranaense
58,Palmas,Centro-Sul Paranaense
59,Palmital,Centro-Sul Paranaense
60,Pinhão,Centro-Sul Paranaense
61,Pitanga,Centro-Sul Paranaense
62,Porto Barreiro,Centro-Sul Paranaense
63,Quedas do Iguaçu,Centro-Sul Paranaense
64,Reserva do Iguaçu,Centro-Sul Paranaense
65,Rio Bonito do Iguaçu,Centro-Sul Paranaense
66,Santa Maria do Oeste,Centro-Sul Paranaense
67,Turvo,Centro-Sul Paranaense
68,Virmond,Centro-Sul Paranaense
69,Adrianópolis,Metropolitana de Curitiba
70,Agudos do Sul,Metropolitana de Curitiba
71,Almirante Tamandaré,Metropolitana de Curitiba
72,Antonina,Metropolitana de Curitiba
73,Araucária,Metropolitana de Curitiba
74,Balsa Nova,Metropolitana de Curitiba
75,Bocaiúva do Sul,Metropolitana de Curitiba
76,Campina Grande do Sul,Metropolitana de Curitiba
77,Campo do Tenente,Metropolitana de Curitiba
78,Campo Largo,Metropolitana de Curitiba
79,Campo Magro,Metropolitana de Curitiba
80,Cerro Azul,Metropolitana de Curitiba
81,Colombo,Metropolitana de Curitiba
82,Contenda,Metropolitana de Curitiba
83,Curitiba,Metropolitana de Curitiba
84,Fazenda Rio Grande,Metropolitana de Curitiba
