Município,Ano,Grau de Urbanização (%),Razão de Dependência (%),PCT,PCF,PCPR,PCPA
Abatiá,2010,73.83,45.72,7764,3848,320,2032
Adrianópolis,2010,32.31,62.03,6376,3078,367,2976
Agudos do Sul,2010,34.12,49.76,8270,3964,173,2020
Almirante Tamandaré,2010,95.82,47.08,103204,52068,3700,32004
Altamira do Paraná,2010,49.58,50.93,4306,2104,139,2033
Alto Paraíso,2010,55.27,48.98,3206,1587,199,1605
Alto Paraná,2010,82.13,45.01,13663,6821,603,4778
Alto Piquiri,2010,82.29,47.67,10179,5050,347,5042
Altônia,2010,73.57,47.49,20516,10359,556,6545
Alvorada do Sul,2010,71.36,44.81,10283,5078,267,3823
Amaporã,2010,79.55,48.8,5443,2686,562,2750
Ampére,2010,76.59,46.95,17308,8722,314,3033
Anahy,2010,73.35,50.71,2874,1435,183,941
Andirá,2010,93.89,44.33,20610,10569,754,4870
Ângulo,2010,78.8,45.13,2859,1402,93,1053
Antonina,2010,85.03,55.32,18891,9542,595,5626
Antônio Olinto,2010,9.35,48.45,7351,3494,161,1723
Apucarana,2010,94.36,42.69,120919,62237,5171,33294
Arapongas,2010,97.79,41.22,104150,53111,3043,20826
Arapoti,2010,84.23,48.39,25855,12906,871,7475
Arapuã,2010,37.46,51.73,3561,1797,83,1128
Araruna,2010,78.06,43.63,13419,6595,241,4263
Araucária,2010,92.51,42.54,119123,59517,4471,31614
Ariranha do Ivaí,2010,36.85,47.68,2453,1224,12,1008
Assaí,2010,83.08,47.91,16354,8342,584,5308
Assis Chateaubriand,2010,87.85,45.02,33025,16847,1016,9934
Astorga,2010,91.34,43.0,24698,12556,716,7192
Atalaia,2010,85.54,42.34,3913,1943,122,1153
Balsa Nova,2010,60.8,42.68,11300,5579,157,2231
Bandeirantes,2010,88.19,45.01,32184,16633,1821,9629
Barbosa Ferraz,2010,75.7,50.17,12656,6305,984,5294
Barra do Jacaré,2010,67.88,41.74,2727,1342,122,470
Barracão,2010,71.99,46.61,9735,4941,216,3360
Bela Vista da Caroba,2010,26.39,51.79,3945,1927,109,1340
Bela Vista do Paraíso,2010,94.14,46.71,15079,7762,539,5033
Bituruna,2010,62.34,53.76,15880,7730,134,5055
Boa Esperança,2010,57.79,43.2,4568,2288,118,1629
Boa Esperança do Iguaçu,2010,34.48,47.73,2764,1362,105,527
Boa Ventura de São Roque,2010,23.56,50.15,6554,3208,238,1845
Boa Vista da Aparecida,2010,61.94,56.31,7911,3917,227,2161
Bocaiúva do Sul,2010,46.67,54.25,10987,5435,357,2953
