CD_MUN,Município,População
103,Abatiá,7321
202,Adrianópolis,8556
301,Agudos do Sul,10092
400,Almirante Tamandaré,122032
459,Altamira do Paraná,3435
509,Altônia,18735
608,Alto Paraná,13897
707,Alto Piquiri,9646
806,Alvorada do Sul,11672
905,Amaporã,4765
1002,Ampére,19506
1051,Anahy,3107
1101,Andirá,20234
1150,Ângulo,3447
1200,Antonina,17261
1309,Antônio Olinto,6520
1408,Apucarana,135969
1507,Arapongas,118573
1606,Arapoti,25541
1655,Arapuã,3537
1705,Araruna,14520
1804,Araucária,166699
1853,Ariranha do Ivaí,2340
1903,Assaí,17628
2000,Assis Chateaubriand,36400
2109,Astorga,25477
2208,Atalaia,3978
2307,Balsa Nova,14608
2406,Bandeirantes,31309
2505,Barbosa Ferraz,10766
2604,Barracão,9886
2703,Barra do Jacaré,3022
2752,Bela Vista da Caroba,3416
2802,Bela Vista do Paraíso,14789
2901,Bituruna,15443
3008,Boa Esperança,4552
3024,Boa Esperança do Iguaçu,2411
3040,Boa Ventura de São Roque,6347
3057,Boa Vista da Aparecida,7876
3107,Bocaiúva do Sul,16292
3156,Bom Jesus do Sul,3942
3206,Bom Sucesso,6583
3222,Bom Sucesso do Sul,3540
3305,Borrazópolis,7706
3354,Braganey,5212
3370,Brasilândia do Sul,3703
3404,Cafeara,2620
3453,Cafelândia,18262
3479,Cafezal do Sul,4474
3503,Califórnia,9438
3602,Cambará,23956
3701,Cambé,107220
3800,Cambira,10482
3909,Campina da Lagoa,15737
3958,Campina do Simão,3937
4006,Campina Grande do Sul,52083
4055,Campo Bonito,4266
4105,Campo do Tenente,7583
4204,Campo Largo,144165
4253,Campo Magro,31678
4303,Campo Mourão,99170
4402,Cândido de Abreu,16727
4428,Candói,14922
4451,Cantagalo,10589
4501,Capanema,19205
4600,Capitão Leônidas Marques,14644
4659,Carambeí,23386
4709,Carlópolis,16908
4808,Cascavel,350644
4907,Castro,75956
5003,Catanduvas,11246
5102,Centenário do Sul,10836
5201,Cerro Azul,16145
5300,Céu Azul,11081
5409,Chopinzinho,21646
