Localidade,Ano,Rendimento Médio (RAIS) - Total (R$ 1.00),Rendimento Médio (RAIS) - Masculino (R$ 1.00),Rendimento Médio (RAIS) - Feminino (R$ 1.00),Índice de Gini da Renda Domiciliar per Capita (2010),Renda Média da População (R$) ,Renda Média dos Declarantes (R$)
Abatiá,2021,2223.99,2135.51,2327.39,"0,4424",48126,697689
Adrianópolis,2021,3049.54,3331.6,2413.83,"0,5393",50268,520181
Agudos do Sul,2021,2061.84,2038.0,2091.45,"0,4797",39588,536335
Almirante Tamandaré,2021,2434.88,2523.23,2294.5,"0,4402",56201,494279
Altamira do Paraná,2021,2188.76,2263.78,2106.56,"0,5848",85866,566382
Alto Paraíso,2021,2506.17,2423.48,2662.76,"0,5769",55826,549060
Alto Paraná,2021,2171.16,2165.57,2179.08,"0,4385",56437,668734
Alto Piquiri,2021,2666.38,2902.36,2368.54,"0,4434",52614,653696
Altônia,2021,2021.75,2167.65,1888.4,"0,3853",44629,713556
Alvorada do Sul,2021,2327.83,2533.71,2086.51,"0,4858",85041,768445
Amaporã,2021,2559.27,2618.63,2479.42,"0,3977",35127,573255
Ampére,2021,2247.61,2528.69,1955.0,"0,5166",68068,695853
Anahy,2021,1910.49,2093.87,1697.15,"0,4353",50228,536531
Andirá,2021,2540.15,2692.58,2331.88,"0,436",109381,773430
Ângulo,2021,2336.9,2228.48,2463.81,"0,4445",98012,655652
Antonina,2021,2105.04,2392.24,1656.16,"0,5676",68271,571160
Antônio Olinto,2021,2122.82,2090.4,2162.16,"0,5055",24968,470653
Apucarana,2021,2416.39,2446.85,2381.94,"0,4505",105998,731240
Arapongas,2021,2517.47,2708.56,2281.54,"0,4658",116297,771911
Arapoti,2021,2661.91,2922.07,2233.67,"0,5783",98970,741360
Arapuã,2021,2371.5,2445.85,2273.82,"0,5118",84436,934071
Araruna,2021,2539.71,2667.56,2330.38,"0,3966",91314,744552
Araucária,2021,3533.13,3984.94,2891.43,"0,4637",111989,614098
Ariranha do Ivaí,2021,2508.71,2419.21,2615.17,"0,4085",61280,699469
Assaí,2021,2119.34,2179.77,2047.91,"0,5504",102519,768458
Assis Chateaubriand,2021,2270.93,2416.08,2098.3,"0,4834",162313,843965
Astorga,2021,2253.72,2413.61,2081.53,"0,51",101368,695306
Atalaia,2021,2670.54,2707.68,2622.3,"0,4068",91389,670473
