Município,Ano,RMT,RMM,RMF,Coeficiente de Gini,Renda Média da População (R$) ,Renda Média dos Declarantes (R$),Renda Média da População (R$ mil),Renda Média dos Declarantes (R$ mil),Rendimento médio da população feminina/masculina (%)
Abatiá,2021,2223.99,2135.51,2327.39,0.44,48126,697689,48.13,697.69,108.99
Adrianópolis,2021,3049.54,3331.6,2413.83,0.54,50268,520181,50.27,520.18,72.45
Agudos do Sul,2021,2061.84,2038.0,2091.45,0.48,39588,536335,39.59,536.34,102.62
Almirante Tamandaré,2021,2434.88,2523.23,2294.5,0.44,56201,494279,56.2,494.28,90.94
Altamira do Paraná,2021,2188.76,2263.78,2106.56,0.58,85866,566382,85.87,566.38,93.05
Alto Paraíso,2021,2506.17,2423.48,2662.76,0.58,55826,549060,55.83,549.06,109.87
Alto Paraná,2021,2171.16,2165.57,2179.08,0.44,56437,668734,56.44,668.73,100.62
Alto Piquiri,2021,2666.38,2902.36,2368.54,0.44,52614,653696,52.61,653.7,81.61
Altônia,2021,2021.75,2167.65,1888.4,0.39,44629,713556,44.63,713.56,87.12
Alvorada do Sul,2021,2327.83,2533.71,2086.51,0.49,85041,768445,85.04,768.45,82.35
Amaporã,2021,2559.27,2618.63,2479.42,0.4,35127,573255,35.13,573.26,94.68
Ampére,2021,2247.61,2528.69,1955.0,0.52,68068,695853,68.07,695.85,77.31
Anahy,2021,1910.49,2093.87,1697.15,0.44,50228,536531,50.23,536.53,81.05
Andirá,2021,2540.15,2692.58,2331.88,0.44,109381,773430,109.38,773.43,86.6
Ângulo,2021,2336.9,2228.48,2463.81,0.44,98012,655652,98.01,655.65,110.56
Antonina,2021,2105.04,2392.24,1656.16,0.57,68271,571160,68.27,571.16,69.23
Antônio Olinto,2021,2122.82,2090.4,2162.16,0.51,24968,470653,24.97,470.65,103.43
Apucarana,2021,2416.39,2446.85,2381.94,0.45,105998,731240,106.0,731.24,97.35
Arapongas,2021,2517.47,2708.56,2281.54,0.47,116297,771911,116.3,771.91,84.23
Arapoti,2021,2661.91,2922.07,2233.67,0.58,98970,741360,98.97,741.36,76.44
Arapuã,2021,2371.5,2445.85,2273.82,0.51,84436,934071,84.44,934.07,92.97
