Município,Declarantes do IRPF na população (%),Patrimônio liquido médio da população (R$),Patrimônio liquido médio dos declarantes (R$),Domicílios com bens duráveis (%),Veículos por pessoa (%),Domicílios com bens duráveis teste (%)
Abatiá,6.9,1251157,18138103,0.4537,0.6205,45.37
Adrianópolis,9.66,1013879,10491675,0.2895,0.3915,28.95
Agudos do Sul,7.38,1391779,18855721,0.4394,0.7278,43.94
Almirante Tamandaré,11.37,8393912,73823257,0.6127,0.5307,61.27
Altamira do Paraná,15.16,3578844,23606339,0.3879,0.6413,38.79
Alto Paraíso,10.17,1239997,12195580,0.3592,0.105,35.92
Alto Paraná,8.44,2383992,28248598,0.5431,0.6205,54.31
Alto Piquiri,8.05,1725027,21432420,0.4521,0.6227,45.21
Altônia,6.25,1130064,18067993,0.5188,12.457,51.88
Alvorada do Sul,11.07,3143187,28402260,0.4034,12.988,40.34
Amaporã,6.13,1033636,16868509,0.4799,0.1373,47.99
Ampére,9.78,2871790,29357930,0.5561,46.997,55.61
Anahy,9.36,1290268,13782636,0.5039,0.1004,50.39
Andirá,14.14,4862020,34379212,0.5459,43.371,54.59
Ângulo,14.95,4393449,29389967,0.4972,0.1151,49.72
Antonina,11.95,833290,6971306,0.3971,0.8814,39.71
Antônio Olinto,5.3,791158,14913528,0.4383,0.0331,43.83
Apucarana,14.5,3997238,27575436,0.616,0.7661,61.6
Arapongas,15.07,4924364,32685061,0.6402,36.524,64.02
Arapoti,13.35,3379305,25313480,0.4953,47.348,49.53
Arapuã,9.04,3257075,36031388,0.4392,0.1638,43.92
Araruna,12.26,3869630,31552024,0.5318,0.0572,53.18
Araucária,18.24,3546135,19445494,0.6056,407.748,60.56
Ariranha do Ivaí,8.76,1897851,21662759,0.4254,0.0838,42.54
Assaí,13.34,4022119,30148754,0.5186,0.3157,51.86
Assis Chateaubriand,19.23,5860872,30474342,0.5746,11.286,57.46
Astorga,14.58,4157794,28519139,0.5656,48.361,56.56
Atalaia,13.63,3480361,25533613,0.4962,0.2004,49.62
Balsa Nova,14.37,2099174,14610518,0.5075,0.2885,50.75
Bandeirantes,12.91,3142399,24342867,0.5535,20.713,55.35
Barbosa Ferraz,9.08,2104654,23167415,0.4448,0.7102,44.48
Barra do Jacaré,9.85,1284820,13040454,0.4979,0.5764,49.79
Barracão,11.74,3110483,26486624,0.5485,28.469,54.85
Bela Vista da Caroba,6.71,1198856,17863990,0.4536,0.1737,45.36
Bela Vista do Paraíso,12.68,5125306,40432678,0.5425,0.7828,54.25
Bituruna,6.77,1286916,19013889,0.4703,24.242,47.03
Boa Esperança do Iguaçu,9.8,1454191,14842361,0.5035,15.172,50.35
Boa Esperança,19.59,7297445,37241813,0.5074,0.2954,50.74
Boa Ventura de São Roque,6.74,2141827,31777922,0.4267,0.4968,42.67
Boa Vista da Aparecida,9.52,1450484,15232099,0.4414,0.3179,44.14
Bocaiúva do Sul,8.96,871353,9727891,0.4899,20.786,48.99
Bom Jesus do Sul,6.79,1009425,14869939,0.4642,0.3331,46.42
Bom Sucesso do Sul,14.17,5542022,39118744,0.5081,0.9997,50.81
Bom Sucesso,7.95,2001975,25177864,0.5931,0.2937,59.31
Borrazópolis,14.69,4454266,30318200,0.4973,11.554,49.73
Braganey,9.33,1935127,20746722,0.5151,0.9603,51.51
Brasilândia do Sul,14.55,2426694,16683520,0.4318,0.8767,43.18
Cafeara,10.87,1550093,14264715,0.4406,0.0909,44.06
Cafelândia,15.91,3200454,20111538,0.591,3.236,59.1
Cafezal do Sul,7.48,1329070,17760809,0.4569,0.294,45.69
Califórnia,9.82,2353104,23965462,0.5267,0.2798,52.67
Cambará,13.77,3566358,25904412,0.5576,0.1676,55.76
Cambé,15.38,3319956,21592792,0.6166,68.753,61.66
Cambira,12.4,3554402,28656007,0.5551,0.3935,55.51
Campina da Lagoa,13.62,4691741,34441255,0.471,26.949,47.1
Campina do Simão,5.29,1154962,21848034,0.3978,0.0408,39.78
Campina Grande do Sul,16.77,3565051,21261334,0.5496,68.495,54.96
Campo Bonito,10.36,2428856,23435348,0.48,0.3284,48.0
Campo do Tenente,8.42,1385146,16460119,0.4626,0.0299,46.26
Campo Largo,17.0,3197159,18803554,0.6085,28.016,60.85
Campo Magro,9.98,1169029,11709973,0.5688,0.165,56.88
Campo Mourão,19.64,8771474,44651375,0.6095,45.871,60.95
Cândido de Abreu,5.98,924772,15474513,0.382,0.5831,38.2
Candói,9.46,1894963,20039418,0.4213,0.8712,42.13
Cantagalo,6.72,1725557,25669585,0.4598,0.3314,45.98
Capanema,12.7,3173631,24987121,0.539,0.9616,53.9
Capitão Leônidas Marques,12.16,2942897,24206668,0.5338,0.5199,53.38
Carambeí,16.48,3960058,24031681,0.5457,0.9296,54.57
Carlópolis,11.72,2673103,22815143,0.4409,0.03,44.09
Cascavel,20.93,8326589,39786635,0.6241,34.199,62.41
Castro,15.15,4290338,28314020,0.5215,43.664,52.15
